ticker,name,exchange
A,ARMOR MINERALS INC.,tsxv
AAA.P,FIRST TIDAL ACQUISITION CORP.,tsxv
AAB,ABERDEEN INT L. J,tsx
AAC.P,ANACOTT ACQUISITION CORPORATION,tsxv
AAD.P,AADIRECTION CAPITAL CORP.,tsxv
AAG,AFTERMATH SILVER LTD.,tsxv
AALI,ADVANCE LITHIUM CORP.,tsxv
AAN,ATON RESOURCES INC.,tsxv
AAT,ATI AIRTEST TECHNOLOGIES INC.,tsxv
AAU,ANGOLD RESOURCES LTD.,tsxv
AAV,ADVANTAGE ENERGY LTD,tsx
AAZ,AZINCOURT ENERGY CORP.,tsxv
ABCT,ABC TECH HOLDINGS,tsx
ABI,ABCOURT MINES INC.,tsxv
ABN,ABEN RESOURCES LTD.,tsxv
ABR,ARBOR METALS CORP.,tsxv
ABRA,ABRASILVER RESOURCE CORP.,tsxv
ABST,ABSOLUTE SOFTWARE J,tsx
ABTC,ACCELERATECARBNNEGCA,tsx
ABTC.U,ACCELERATECARBNNEGUS,tsx
ABX,BARRICK GOLD CORP,tsx
ABZ,ASIABASEMETALS INC.,tsxv
AC,AIR CANADA VOTE & VV,tsx
ACB,AURORA CANNABIS J,tsx
ACB.WT.U,AURORACANNABSJ40WTUS,tsx
ACB.WT.V,AURORACANNABSJ36WTUS,tsx
ACCA.P,AARDVARK CAPITAL CORP.,tsxv
ACD,ACCORD FINANCIAL,tsx
ACD.DB,ACCORD FIN CORP 7%DB,tsx
ACO.X,ATCO LTD. CL I NV,tsx
ACO.Y,ATCO LTD. CL II,tsx
ACOG,ALPHA COGNITION INC.,tsxv
ACOG.WT,ALPHA COGNITION INC. WT 01OCT2023,tsxv
ACOP,ATACAMA COPPER CORPORATION,tsxv
ACP,ARCPACIFIC RESOURCES CORP.,tsxv
ACQ,AUTOCANADA INC.,tsx
ACS,ARCHON MINERALS LTD.,tsxv
ACST,ACASTI PHARMA INC.,tsxv
ACU,AURORA SOLAR TECHNOLOGIES INC.,tsxv
ACZ,MIDDLEFLD AMERCOREUN,tsx
AD.DB,ALARIS EQPART TR DEB,tsx
AD.UN,ALARIS EQ PART TR UN,tsx
ADCO,ADCORE INC. J,tsx
ADCO.WT,ADCORE INC. J WT,tsx
ADD,ARCTIC STAR EXPLORATION CORP.,tsxv
ADE,ADEX MINING INC,tsxv
ADG,ARCUS DEVELOPMENT GROUP INC,tsxv
ADK,DIAGNOS INC.,tsxv
ADN,ACADIAN TIMBER CORP.,tsx
ADW.A,ANDREW PELLER A NV,tsx
ADW.B,ANDREW PELLER LTD. B,tsx
ADY,ADYTON RESOURCES CORPORATION,tsxv
ADYA,ADYA INC.,tsxv
ADZ,ADAMERA MINERALS CORP.,tsxv
ADZN,ADVENTUS MINING CORPORATION,tsxv
AE,AMERICAN EAGLE GOLD CORP.,tsxv
AEC,ANFIELD ENERGY INC.,tsxv
AEG,AEGIS BRANDS INC.,tsx
AEM,AGNICO EAGLE MINES,tsx
AEP,ATLAS ENGINEERED PRODUCTS LTD.,tsxv
AEX,AEX GOLD INC.,tsxv
AEZS,AETERNA ZENTARIS INC,tsx
AF.P,AF2 CAPITAL CORP.,tsxv
AFE,AFRICA ENERGY CORP.,tsxv
AFF,AFFINITY METALS CORP.,tsxv
AFM,ALPHAMIN RESOURCES CORP.,tsxv
AFN,AG GROWTH INT L INC.,tsx
AFN.DB.D,AG GROWTH INTL4.85DB,tsx
AFN.DB.E,AG GROWTH INTL 4.5DB,tsx
AFN.DB.F,AG GROWTH INTL 5.4DB,tsx
AFN.DB.G,AG GROWTH INTL5.25DB,tsx
AFN.DB.H,AG GROWTHINTLDEC26DB,tsx
AFN.DB.I,AG GROWTH INTL 5% DB,tsx
AFR,AFR NUVENTURE RESOURCES INC.,tsxv
AGC,AMARILLO GOLD CORPORATION,tsxv
AGD,ANTIOQUIA GOLD INC,tsxv
AGF.B,AGF MANAGEMENT B NV,tsx
AGG,"AFRICAN GOLD GROUP, INC.",tsxv
AGI,ALAMOS GOLD INC. J,tsx
AGL,AGUILA COPPER CORP.,tsxv
AGLD,AUSTRAL GOLD LIMITED,tsxv
AGO,AURCREST GOLD INC.,tsxv
AGR.UN,SUSTAIN AGRI&WEL DIV,tsx
AGX,SILVER X MINING CORP.,tsxv
AH,ALEAFIA HEALTH J,tsx
AH.DB,ALEAFIA HEALTH J DEB,tsx
AH.WT,ALEAFIA HEALTH J WT,tsx
AH.WT.A,ALEAFIA HLTH J A WT,tsx
AH.WT.B,ALEAFIA HLTH J B WT,tsx
AHC,APOLLO HLTHCARE CL B,tsx
AHC.WT,APOLLO HLTHCARE WT,tsx
AHR,AMARC RESOURCES LTD.,tsxv
AI,ATRIUM MTG INVEST,tsx
AI.DB.C,ATRIUM MTG INV 5.3DB,tsx
AI.DB.D,ATRIUM MTG INV 5.5DB,tsx
AI.DB.E,ATRIUM MTG INV 5.6DB,tsx
AI.DB.F,ATRIUM MTG INV 5% DB,tsx
AIF,ALTUS GROUP LIMITED,tsx
AII,ALMONTY INDUSTRIES J,tsx
AIM,AIMIA INC.,tsx
AIM.PR.A,AIMIA INC. SER 1 PR,tsx
AIM.PR.C,AIMIA INC. SER 3 PR,tsx
AIME.P,AIM5 VENTURES INC.,tsxv
AIMF.P,AIM6 VENTURES INC.,tsxv
AIR,CLEAN AIR METALS INC.,tsxv
AIS,A.I.S. RESOURCES LIMITED,tsxv
AIV.P,APOLO IV ACQUISITION CORP.,tsxv
AJX,AGJUNCTION INC.,tsx
AKE,ALLKEM LIMITED ORD J,tsx
AKMY,K.B. RECYCLING INDUSTRIES LTD.,tsxv
AKMY.WT,K.B. RECYCLING INDUSTRIES LTD. WT 21APR2023,tsxv
AKR,ACKROO INC.,tsxv
AKT.A,AKITA DRILL CL A NV,tsx
AKT.B,AKITA DRILLING CL B,tsx
AKU,AKUMIN INC. J,tsx
AL,ALX RESOURCES CORP.,tsxv
ALA,ALTAGAS LTD.,tsx
ALA.PR.A,ALTAGAS LTD SR A PR,tsx
ALA.PR.B,ALTAGAS LTD SR B PR,tsx
ALA.PR.E,ALTAGAS LTD SR E PR,tsx
ALA.PR.G,ALTAGAS LTD SR G PR,tsx
ALA.PR.H,ALTAGAS LTD SR H PR,tsx
ALA.PR.K,ALTAGAS LTD SR K PR,tsx
ALA.PR.U,ALTAGAS LTD C PR USF,tsx
ALAB.P,A-LABS CAPITAL II CORP.,tsxv
ALBA.P,A-LABS CAPITAL V CORP.,tsxv
ALC,ALGOMA CENTRAL CORP,tsx
ALC.DB.A,ALGOMA CENTRL 5.25DB,tsx
ALCC.P,A-LABS CAPITAL IV CORP.,tsxv
ALDE,ALDEBARAN RESOURCES INC.,tsxv
ALEX,ALPHA EXPLORATION LTD.,tsxv
ALLI,ALPHA LITHIUM CORPORATION,tsxv
ALLI.WT,ALPHA LITHIUM CORPORATION WT 19FEB2023,tsxv
ALM,ALLIANCE MINING CORP.,tsxv
ALPS.U,"ALPINE SUMMIT ENERGY PARTNERS, INC.",tsxv
ALS,ALTIUS MINERALS CORP,tsx
ALS.PR.A,ALTIUS MINERALS PR,tsx
ALT,ALTURAS MINERALS CORP,tsxv
ALTA,ALTAMIRA GOLD CORP.,tsxv
ALTN.P,ALTINA CAPITAL CORP.,tsxv
ALTS,ALTUS STRATEGIES PLC,tsxv
ALV,ALVOPETRO ENERGY LTD.,tsxv
ALY,ANALYTIXINSIGHT INC.,tsxv
ALY.WT,ANALYTIXINSIGHT INC. WT 28JUN2024,tsxv
ALYA,ALITHYA GROUP J A SV,tsx
AM,ACADEMY METALS INC.,tsxv
AMC,ARIZONA METALS CORP.,tsxv
AME,ABACUS MINING & EXPLORATION CORPORATION,tsxv
AMI,ATHABASCA MINERALS INC,tsxv
AMK,AMERICAN CREEK RESOURCES LTD.,tsxv
AMM,ALMADEN MINERALS,tsx
AMMO,BULLET EXPLORATION INC.,tsxv
AMO,ALTAN RIO MINERALS LIMITED,tsxv
AMR,AM RESOURCES CORP.,tsxv
AMU.P,AUMENTO CAPITAL VIII CORP.,tsxv
AMV,AMV CAPITAL CORPORATION,tsxv
AMX,AMEX EXPLORATION INC.,tsxv
AMY,AMERICAN MANGANESE INC,tsxv
AMZ,AZUCAR MINERALS LTD.,tsxv
AN,ARENA MINERALS INC.,tsxv
ANCV.P,ANC CAPITAL VENTURES INC.,tsxv
AND,ANDLAUERHLTHCR GRPSV,tsx
ANE,ALTAN NEVADA MINERALS LIMITED,tsxv
ANG,ANGEL GOLD CORP.,tsxv
ANK,ANGKOR RESOURCES CORP.,tsxv
ANKH.P,ANKH CAPITAL INC.,tsxv
ANRG,ANAERGIA INC. J SV,tsx
ANTL,ANTLER GOLD INC.,tsxv
ANTV.P,ANTALIS VENTURES CORP.,tsxv
ANX,ANACONDA MINING J,tsx
ANZ,ALIANZA MINERALS LTD.,tsxv
AOI,AFRICA OIL CORP. J,tsx
AORO,ALORO MINING CORP.,tsxv
AOT,ASCOT RESOURCES J,tsx
AP.UN,ALLIED PROP. REIT UN,tsx
APC,ADVANCED PROTEOME THERAPEUTICS CORPORATION,tsxv
APGO,APOLLO SILVER CORP.,tsxv
APL,APPULSE CORPORATION,tsxv
APLI,APPILI THERAPEUTCS J,tsx
APM,ANDEAN PRECIOUS METALS CORP.,tsxv
APMI,APOGEE MINERALS LTD.,tsxv
APN,ALTIPLANO METALS INC.,tsxv
APR.UN,AUTOMOTIVE PPTY UN,tsx
APS,APTOSE BIOSCIENCES,tsx
APX,APEX RESOURCES INC.,tsxv
APY,ANGLO PACIFIC ORD,tsx
AQA,AQUILA RESOURCES J,tsx
AQN,ALGONQUIN PWR & UTIL,tsx
AQN.PR.A,ALGONQUIN PWR A PR,tsx
AQN.PR.D,ALGONQUIN PWR D PR,tsx
AQS,AEQUUS PHARMACEUTICALS INC.,tsxv
AQS.DB,AEQUUS PHARMACEUTICALS INC. DB02MAY2022,tsxv
AQS.WT,AEQUUS PHARMACEUTICALS INC. WT 02MAY2022,tsxv
AR,ARGONAUT GOLD INC. J,tsx
AR.DB.U,ARGONAUT GLD J DB US,tsx
ARA,ACLARA RES INC. J,tsx
ARB,ACCELERATE ARBITRGUN,tsx
ARCH,ARCH BIOPARTNERS INC.,tsxv
ARD,ARMADA DATA CORPORATION,tsxv
ARE,AECON GROUP INC.,tsx
ARE.DB.C,AECON GROUP 5% DEB C,tsx
ARG,AMERIGO RESOURCES J,tsx
ARH,ALTIMA RESOURCES LTD.,tsxv
ARIC,AWALE RESOURCES LIMITED,tsxv
ARIS,ARIS GOLD CORP J,tsx
ARIS.WT,ARIS GOLD CORP J WT,tsx
ARJN,ARANJIN RESOURCES LTD.,tsxv
AROW.P,FOUR ARROWS CAPITAL CORP.,tsxv
ARR,ALTIUS RENEWROYLTY J,tsx
ART,ARHT MEDIA INC.,tsxv
ART.WT,ARHT MEDIA INC. WT. 17MAR2024,tsxv
ARTG,ARTEMIS GOLD INC.,tsxv
ARU,AURANIA RESOURCES LTD.,tsxv
ARU.WT,AURANIA RESOURCES LTD. WT 29OCT2022,tsxv
ARU.WT.A,AURANIA RESOURCES LTD. WT. 1APR2024,tsxv
ARU.WT.B,AURANIA RESOURCES LTD. WT 21OCT2026,tsxv
ARX,ARC RESOURCES LTD.,tsx
ASCU,ARIZONA SONORAN J,tsx
ASG,AURORA SPINE CORPORATION,tsxv
ASL,ARGENTUM SILVER CORP,tsxv
ASM,AVINO SILVER & GLD J,tsx
ASND,ASCENDANT RES J,tsx
ASND.WT,ASCENDANT RES J WT,tsx
ASP,ACERUS PHARMA CORP J,tsx
AST,ASTRON CONNECT INC.,tsxv
ASTL,ALGOMA STEEL GRP INC,tsx
ASTL.WT,ALGOMA STEEL GRP WT,tsx
ASTN.P,AUSTON CAPITAL CORP.,tsxv
AT,ACUITYADS HLDGS J,tsx
ATA,ATS AUTOMATION TOOL,tsx
ATC,ATAC RESOURCES LTD.,tsxv
ATD,ALIMENTATION CL A,tsx
ATD.A,ALIMENTATION CL A MV,tsx
ATD.B,ALIMENTATION CL B SV,tsx
ATE,ANTIBE THERAPEUTIC J,tsx
ATH,ATHABASCA OIL CORP J,tsx
ATI,ALTAI RESOURCES INC,tsxv
ATLY,ALTALEY MINING CORPORATION,tsxv
ATOM,ATOMIC MINERALS CORPORATION,tsxv
ATSX,ACCELERATECA BENCHMK,tsx
ATW,ATW TECH INC.,tsxv
ATX,ATEX RESOURCES INC.,tsxv
ATY,ATICO MINING CORPORATION,tsxv
ATZ,ARITZIA INC. SV,tsx
AU,AURION RESOURCES LTD,tsxv
AUAU,ALLEGIANT GOLD LTD.,tsxv
AUC,GOLDPLAY MINING INC.,tsxv
AUD.P,AUDREY CAPITAL CORPORATION,tsxv
AUEN,GOLDEN SKY MINERALS CORP.,tsxv
AUGB.F,1STTR CBOEVESTUSEQHG,tsx
AUGC,AU GOLD CORP.,tsxv
AUIX.P,AUMENTO CAPITAL IX CORP.,tsxv
AUL,AURELIUS MINERALS INC.,tsxv
AUMB,1911 GOLD CORPORATION,tsxv
AUMN,GOLDEN MINERALS J,tsx
AUN,AURCANA SILVER CORPORATION,tsxv
AUQ,AUQ GOLD MINING INC.,tsxv
AUTO,CARBEEZA INC.,tsxv
AUU,GOLD79 MINES LTD.,tsxv
AVCN,AVICANNA INC. J,tsx
AVCR,AVRICORE HEALTH INC.,tsxv
AVG,AVIDIAN GOLD CORP.,tsxv
AVII.P,ANTERA VENTURES II CORP.,tsxv
AVL,AVALON ADVNCD MTRL J,tsx
AVN,AVANTI ENERGY INC.,tsxv
AVNT,AVANT BRANDS INC. J,tsx
AVNT.WT,AVANT BRANDS J WT,tsx
AVP,AVCORP INDUSTRIES,tsx
AVU,AVRUPA MINERALS LTD.,tsxv
AVX,ALTAIR RESOURCES INC.,tsxv
AW.UN,A&W REVENUE RYLTY UN,tsx
AWE,THUNDERSTRUCK RESOURCES LTD.,tsxv
AWI,ADVENT-AWI HOLDINGS INC.,tsxv
